species,locality
Bos_mutus,Bovine_viral_diarrhea_virus_1
Bos_mutus,Foot-and-mouth_disease_virus
Bos_taurus,Adelaide_River_virus
Bos_taurus,Akabane_virus
Bos_taurus,Alcelaphine_herpesvirus_1
Bos_taurus,Banna_virus
Bos_taurus,Berrimah_virus
Bos_taurus,Bhanja_virus
Bos_taurus,Bluetongue_virus
Bos_taurus,Border_disease_virus
Bos_taurus,Borna_disease_virus
Bos_taurus,Bovine_adenovirus_A
Bos_taurus,Bovine_adenovirus_B
Bos_taurus,Bovine_adenovirus_C
Bos_taurus,Bovine_adenovirus_D
Bos_taurus,Bovine_adenovirus_E
Bos_taurus,Bovine_astrovirus
Bos_taurus,Bovine_coronavirus
Bos_taurus,Bovine_enteric_calicivirus_strain_NB
Bos_taurus,Bovine_ephemeral_fever_virus
Bos_taurus,Bovine_foamy_virus
Bos_taurus,Bovine_herpesvirus_1
Bos_taurus,Bovine_herpesvirus_2
Bos_taurus,Bovine_herpesvirus_4
Bos_taurus,Bovine_herpesvirus_5
Bos_taurus,Bovine_leukemia_virus
Bos_taurus,Bovine_norovirus-CH126
Bos_taurus,Bovine_norovirus-Jena
Bos_taurus,Bovine_papillomavirus_1
Bos_taurus,Bovine_papillomavirus_3
Bos_taurus,Bovine_papillomavirus_5
Bos_taurus,Bovine_papular_stomatitis_virus
Bos_taurus,Bovine_parainfluenza_virus_3
Bos_taurus,Bovine_parvovirus
Bos_taurus,Bovine_polyomavirus
Bos_taurus,Bovine_respiratory_syncytial_virus
Bos_taurus,Bovine_torovirus
Bos_taurus,Bovine_viral_diarrhea_virus_1
Bos_taurus,Bovine_viral_diarrhea_virus_2
Bos_taurus,Buffalopox
Bos_taurus,Bunyamwera_virus
Bos_taurus,Cache _Valley
Bos_taurus,Cetacean_morbillivirus_virus
Bos_taurus,Corriparta_virus
Bos_taurus,Cowpox_virus
Bos_taurus,Crimean-Congo_hemorrhagic_fever_virus
Bos_taurus,Dera_Ghazi_Khan_virus
Bos_taurus,Dhori_virus
Bos_taurus,Dugbe_virus
Bos_taurus,Encephalomyocarditis_virus
Bos_taurus,Epizootic_hemorrhagic_disease_virus
Bos_taurus,Foot-and-mouth_disease_virus
Bos_taurus,Gan_Gan_virus
Bos_taurus,Getah_virus
Bos_taurus,Hepatitis_E_virus
Bos_taurus,Ife_virus
Bos_taurus,Igbo-ora
Bos_taurus,Ilheus_virus
Bos_taurus,Influenza_C_virus
Bos_taurus,Koongol_virus
Bos_taurus,Kotonkan_virus
Bos_taurus,Kyasanur_Forest_disease_virus
Bos_taurus,Louping_ill_virus
Bos_taurus,Lumpy_skin_disease_virus
Bos_taurus,Nipah_virus
Bos_taurus,Ovine_herpesvirus_2
Bos_taurus,Palyam_virus
Bos_taurus,Patois_virus
Bos_taurus,Peste-des-petits-ruminants_virus
